bottle,station,cast,niskin,depth,counts,run_time,dic_cell_id,dbs_fname,analysis_datetime,analysis_datenum,real_day,salinity,dic_certified,alkalinity_certified,total_phosphate,total_silicate,total_ammonium,crm,temperature_override,file_good,flag,notes,analyte_volume,file_path,analysis_batch,reference_good,file_name,analyte_mass,titrant_molinity_here,titrant_molinity,alkalinity,alkalinity_gran,alkalinity_gran_estimate,alkalinity_npts,alkalinity_std,emf0,emf0_gran,emf0_gran_estimate,pH_initial,temperature_initial,alkalinity_offset,blank_good,k_dic_good,logfile_index,blank_here,blank_here_min,blank_here_max,blank_here_std,blank_here_count,analysis_datenum_scaled,blank,counts_corrected,temperature_analysis_dic,density_analysis_dic,k_dic_here,k_dic,dic,dic_offset,nuts_offset,offset_pchip,dic_corrected
NUTSLAB01,27,8,22,0,200541,11,C_Aug27-22_0908,data/64PE503_SO289_2022.dbs,2022-08-27 10:40:00,19231.444444444445,True,35.0,,,0.0,0.0,0.0,False,25.0,True,2,,98.865,data/64PE503_SO289_2022/,0,False,27-8  22  (0)NUTSLAB01.dat,0.1011728114802129,,0.1001453250751579,2370.012093833684,2376.491637075391,,6.0,2.4811959541441797,636.4014070899628,630.1091299600401,,8.01228310751192,25.0,,True,False,17928,39.5,13.0,65.0,16.357974609753292,6.0,-1.1268087896458108,35.789346336615544,200147.31719029724,25.0,1.0233430585162893,,0.0108656498885422,2125.1237858337154,,0.0,0.0,2125.1237858337154
SO289-40830,0,0,0,0,195946,11,C_Aug27-22_0908,data/64PE503_SO289_2022.dbs,2022-08-27 11:01:00,19231.45902777778,True,35.0617,,,0.2382854415479545,0.1191427207739772,0.0,False,25.0,True,2,,98.865,data/64PE503_SO289_2022/,0,False,0-0  0  (0)SO289-40830.dat,0.1011774217286821,,0.1001453250751579,2309.915830650696,2325.0478148603024,,7.0,4.534906549401342,636.2497793451979,630.2328784294008,,8.003803842586706,25.0,,True,False,17947,34.0,0.0,68.0,26.65833203084294,6.0,-1.0112386573707497,33.94823084101105,195572.56946074887,25.0,1.0233896902714017,,0.0108656498885422,2076.455418462893,,,0.5882799546194131,2077.043698417512
SO289-40968,0,0,0,0,194364,11,C_Aug27-22_0908,data/64PE503_SO289_2022.dbs,2022-08-27 11:22:00,19231.473611111112,True,35.5852,,,0.0868818963639718,0.2489312760990205,0.0,False,25.0,True,2,,98.865,data/64PE503_SO289_2022/,0,False,0-0  0  (0)SO289-40968.dat,0.1012165444469389,,0.1001453250751579,2326.0996497763613,2342.8309104403006,,7.0,5.027330487145105,636.2691544310235,630.2873659388003,,8.070055002018819,25.0,,True,False,17966,15.666666666666666,0.0,36.0,15.238839267549949,6.0,-0.895668525095688,32.58214113777794,194005.59644748445,25.0,1.0237854088599505,,0.0108656498885422,2059.022202478521,,,1.1600371473310658,2060.182239625852
64PE503-26-5-2,26,5,2,0,204904,11,C_Aug27-22_0908,data/64PE503_SO289_2022.dbs,2022-08-27 11:41:00,19231.48680555556,True,35.0,,,0.0,0.0,0.0,False,25.0,True,2,,98.865,data/64PE503_SO289_2022/,0,False,26-5  2  (0)64PE503-26-5-2.dat,0.1011728114802129,,0.1001453250751579,2313.105697844725,2327.8564206860183,,7.0,4.480534018052438,636.2355326017223,630.1837265320959,,7.826921440632837,25.0,,True,False,17985,26.666666666666668,0.0,57.0,20.121851030382093,6.0,-0.7911050720917825,31.553052406652625,204556.91642352685,25.0,1.0233430585162893,,0.0108656498885422,2171.9440197897893,,,1.662292982487665,2173.606312772277
64PE503-8-5-11,8,5,11,0,197990,11,C_Aug27-22_0908,data/64PE503_SO289_2022.dbs,2022-08-27 11:59:00,19231.49930555556,True,35.0,,,0.0,0.0,0.0,False,25.0,True,2,,98.865,data/64PE503_SO289_2022/,0,False,8-5  11  (0)64PE503-8-5-11.dat,0.1011728114802129,,0.1001453250751579,2305.6982584030075,2318.4067804821493,,7.0,4.75932343393583,636.2096673331811,630.0357292017438,,7.97354468297262,25.0,,True,False,18004,29.33333333333333,0.0,101.0,35.88252437546104,6.0,-0.6920449587090398,30.672705743805867,197652.6002368181,25.0,1.0233430585162893,,0.0108656498885422,2098.6353851337426,,,2.124251511629842,2100.7596366453727
SO289-40047,0,0,0,0,215999,11,C_Aug27-22_0908,data/64PE503_SO289_2022.dbs,2022-08-27 12:17:00,19231.511805555558,True,34.649,,,2.8124325439450395,27.62807127747607,0.0,False,25.0,True,2,,98.865,data/64PE503_SO289_2022/,0,False,0-0  0  (0)SO289-40047.dat,0.1011465877204266,,0.1001453250751579,2288.841507124129,2304.626946728099,,7.0,3.004954953856217,636.2634863875078,630.2940266622844,,7.448755542216831,25.0,,True,False,18023,40.16666666666666,23.0,55.0,13.18353350037673,6.0,-0.5929848453551274,29.84217562190371,215670.73606815905,25.0,1.0230778103517593,,0.0108656498885422,2290.542015093754,,,2.572098459717473,2293.1141135534713
NUTSLAB02,27,8,22,0,200181,11,C_Aug27-22_0908,data/64PE503_SO289_2022.dbs,2022-08-27 12:36:00,19231.525,True,35.0,,,0.0,0.0,0.0,False,25.0,True,2,,98.865,data/64PE503_SO289_2022/,0,False,27-8  22  (0)NUTSLAB02.dat,0.1011728114802129,,0.1001453250751579,2371.3542476648586,2380.206659660816,,6.0,2.2231545225081204,636.6407269768474,630.472348089377,,8.014638101314741,25.0,,True,False,18042,36.333333333333336,13.0,67.0,17.30767331432956,6.0,-0.4884213923223917,28.994861080969415,199862.05652810933,25.0,1.0233430585162893,,0.0108656498885422,2122.094945742884,,3.0288400908311814,3.0288400908311814,2125.1237858337154
SO289-40776,0,0,0,0,196593,11,C_Aug27-22_0908,data/64PE503_SO289_2022.dbs,2022-08-27 12:56:00,19231.53888888889,True,34.7701,,,0.4219735576194664,0.2666638454400795,0.0,False,25.0,True,2,,98.865,data/64PE503_SO289_2022/,0,False,0-0  0  (0)SO289-40776.dat,0.1011556346964433,,0.1001453250751579,2290.451604089576,2307.8471584016515,,7.0,2.862306692948221,636.6808547378238,630.7942482982855,,7.963760723872861,25.0,,True,False,18061,26.666666666666668,10.0,41.0,11.455226851626389,6.0,-0.3783545996973234,28.12028643283139,196283.67684923887,25.0,1.023169318732042,,0.0108656498885422,2084.454324844887,,,3.5483562171044327,2088.0026810619916
64PE503-18-4-2,18,4,2,0,200511,11,C_Aug27-22_0908,data/64PE503_SO289_2022.dbs,2022-08-27 13:15:00,19231.55208333333,True,35.0,,,0.0,0.0,0.0,False,25.0,True,2,,98.865,data/64PE503_SO289_2022/,0,False,18-4  2  (0)64PE503-18-4-2.dat,0.1011728114802129,,0.1001453250751579,2313.256533977122,2326.123308338137,,7.0,4.783828544398425,636.7837742708147,630.6364501680323,,7.923241672566502,25.0,,True,False,18080,21.83333333333333,0.0,50.0,20.094913673752263,6.0,-0.2737911466934179,27.298079633296624,200210.7211240337,25.0,1.0233430585162893,,0.0108656498885422,2125.7969959950624,,,4.089799438107322,2129.88679543317
64PE503-60-6-2,60,6,2,0,204969,11,C_Aug27-22_0908,data/64PE503_SO289_2022.dbs,2022-08-27 13:36:00,19231.566666666666,True,35.0,,,0.0,0.0,0.0,False,25.0,True,2,,98.865,data/64PE503_SO289_2022/,0,False,60-6  2  (0)64PE503-60-6-2.dat,0.1011728114802129,,0.1001453250751579,2310.5624469296463,2325.456974134827,,7.0,4.33109284463724,636.5607741873675,630.5431334050428,,7.817206011384415,25.0,,True,False,18099,26.83333333333333,5.0,45.0,16.757253819034776,6.0,-0.1582210144183565,26.39435636665189,204678.66207996683,25.0,1.0233430585162893,,0.0108656498885422,2173.23669057826,,,4.672225677651052,2177.908916255911
64PE503-14-4-8,14,4,8,0,199789,11,C_Aug27-22_0908,data/64PE503_SO289_2022.dbs,2022-08-27 13:55:00,19231.57986111111,True,35.0,,,0.0,0.0,0.0,False,25.0,True,2,,98.865,data/64PE503_SO289_2022/,0,False,14-4  8  (0)64PE503-14-4-8.dat,0.1011728114802129,,0.1001453250751579,2307.8849236702963,2324.892194936388,,7.0,3.210007328586074,636.4748441696254,630.5483531475819,,7.932387647969486,25.0,,True,False,18118,27.83333333333333,0.0,63.0,21.27922826503714,6.0,-0.053657561414451,25.579064069868767,199507.63029523144,25.0,1.0233430585162893,,0.0108656498885422,2118.3317195933373,,,5.1221395645848595,2123.453859157922
SO289-41278,0,0,0,0,212356,11,C_Aug27-22_0908,data/64PE503_SO289_2022.dbs,2022-08-27 14:16:00,19231.594444444443,True,34.4901,,,2.3477148225022737,66.81461559770516,0.0,False,25.0,True,2,,98.865,data/64PE503_SO289_2022/,0,False,0-0  0  (0)SO289-41278.dat,0.1011347177802695,,0.1001453250751579,2324.969634909112,2337.0892459058978,,7.0,5.418140962867954,636.4619913946173,630.3075243355968,,7.645656054536444,25.0,,True,False,18137,29.33333333333333,8.0,57.0,18.92675942210452,6.0,0.0619125708606103,24.67927547393437,212084.52796978672,25.0,1.022957748245279,,0.0108656498885422,2252.718874899133,,,5.462774025032896,2258.181648924166
