,bottle,station,cast,niskin,depth,counts,run_time,dic_cell_id,dbs_fname,analysis_datetime,analysis_datenum,salinity,alkalinity_certified,total_phosphate,total_silicate,total_ammonium,crm,exp_number,sample_date,time,latitude,longitude,temperature,ton,temperature_override,analyte_volume,file_path,analysis_batch,reference_good,file_name,analyte_mass,file_good,titrant_molinity_here,titrant_molinity,alkalinity,alkalinity_gran,alkalinity_gran_estimate,alkalinity_npts,alkalinity_std,emf0,emf0_gran,emf0_gran_estimate,pH_initial,temperature_initial,alkalinity_offset
0,JUNK01,22,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 11:18:00,19318.470833333333,35.0,,0.0,0.0,0.0,False,,,,,,,,25.0,98.865,data/TA_ONLY/SO289_TA_only/,0,False,22-11  22  (0)JUNK01.dat,0.10117281148021293,True,,0.10011590766509706,2420.546471538803,2431.4930982464693,,6.0,1.9826601573792806,634.9245283363392,628.7585338573795,,7.8698393567618385,25.0,
1,JUNK02,22,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 11:40:00,19318.48611111111,35.0,,0.0,0.0,0.0,False,,,,,,,,25.0,98.865,data/TA_ONLY/SO289_TA_only/,0,False,22-11  22  (0)JUNK02.dat,0.10117281148021293,True,,0.10011590766509706,2391.817815102401,2399.005080581076,,6.0,1.7804519052679535,635.279371164959,629.0619720433164,,7.876682617791087,25.0,
2,JUNK03,22,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 11:56:00,19318.49722222222,35.0,,0.0,0.0,0.0,False,,,,,,,,25.0,98.865,data/TA_ONLY/SO289_TA_only/,0,False,22-11  22  (0)JUNK03.dat,0.10117281148021293,True,,0.10011590766509706,2389.961989292006,2397.359956802589,,6.0,1.4939625518643829,635.396931608489,629.1938290991264,,7.8769794507602535,25.0,
3,JUNK04,22,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 12:35:00,19318.524305555555,35.0,,0.0,0.0,0.0,False,,,,,,,,25.0,98.865,data/TA_ONLY/SO289_TA_only/,0,False,22-11  22  (0)JUNK04.dat,0.10117281148021293,True,,0.10011590766509706,2389.4355043011774,2396.294326357718,,6.0,1.4458271747663034,635.6831437312353,629.4371439254802,,7.881817437571991,25.0,
4,JUNK05,22,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 12:50:00,19318.534722222223,35.0,,0.0,0.0,0.0,False,,,,,,,,25.0,98.865,data/TA_ONLY/SO289_TA_only/,0,False,22-11  22  (0)JUNK05.dat,0.10117281148021293,True,,0.10011590766509706,2391.1518530184967,2398.696807157226,,6.0,1.783557013093047,635.5736018870887,629.36931338559,,7.876585096798678,25.0,
5,JUNK06,22,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 13:04:00,19318.544444444444,35.0,,0.0,0.0,0.0,False,,,,,,,,25.0,98.865,data/TA_ONLY/SO289_TA_only/,0,False,22-11  22  (0)JUNK06.dat,0.10117281148021293,True,,0.10011590766509706,2390.2239171070755,2397.26285866044,,6.0,1.405374274688839,635.7059704418862,629.4724968871645,,7.877977413720786,25.0,
6,CRM-198-0675-02,666,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 13:20:00,19318.555555555555,33.504,2200.67,0.67,3.8,0.0,True,,,,,,,,25.0,98.865,data/TA_ONLY/SO289_TA_only/,0,True,666-0  0  (0)CRM-198-0675-02.dat,0.10106107928593495,True,0.10006760406004796,0.10011590766509706,2201.731579189801,2210.184644064808,,6.0,0.7905294273449487,636.2339032358592,630.1124519483246,,7.924089027561268,25.0,1.0615791898007956
7,NUTSLAB01,22,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 13:34:00,19318.56527777778,35.0,,0.0,0.0,0.0,False,,,,,,,,25.0,98.865,data/TA_ONLY/SO289_TA_only/,0,False,22-11  22  (0)NUTSLAB01.dat,0.10117281148021293,True,,0.10011590766509706,2363.5183434749256,2370.5450886759563,,6.0,2.0920176204635648,636.4470628122496,630.1921222969308,,7.948821546457108,25.0,
8,ST23,444,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 13:49:00,19318.575694444444,35.0,,0.0,0.0,0.0,False,,,,,,,,25.0,98.865,data/TA_ONLY/SO289_TA_only/,0,False,444-0  0  (0)ST23.dat,0.10117281148021293,True,,0.10011590766509706,2271.9302936471663,2287.1813231532838,,6.0,2.0573666609909975,635.7153393661324,629.7221822821198,,7.901800682291478,25.0,
9,ST22,444,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 14:03:00,19318.585416666665,35.0,,0.0,0.0,0.0,False,,,,,,,,25.0,98.865,data/TA_ONLY/SO289_TA_only/,0,False,444-0  0  (0)ST22.dat,0.10117281148021293,True,,0.10011590766509706,2272.8667305876975,2288.6376651578757,,6.0,2.1585981480195637,635.7935722376081,629.8261523198003,,7.90903931692607,25.0,
