year,month,day,hour,minute,second,station,bottle,niskin,latitude,longitude,depth,pressure,salinity,temperature,oxygen,phosphate,nitrite,silicate,nitrate,density
2022,2,23,17,18,26,SO289_1-2,40001,1,-33.60752,-71.72898,99.1,99.9,34.6035,11.4843,8.78,2.968833131652154,0.2627891123443335,26.575892238718392,24.772514166645383,1.0236344938352255
2022,2,23,17,18,28,SO289_1-2,40002,2,-33.60752,-71.72898,99.0,99.8,34.6041,11.4836,8.91,2.9717625443885765,0.2530198879015915,26.46158186714444,24.761757137612513,1.0236349488097725
2022,2,23,17,18,30,SO289_1-2,40003,3,-33.60752,-71.72898,99.1,99.8,34.6036,11.4842,8.77,2.988371134244887,0.25301998161798817,26.59152084803721,24.88778784440103,1.0236345696643063
2022,2,23,17,18,32,SO289_1-2,40004,4,-33.6075,-71.72898,99.1,99.8,34.6059,11.4814,8.63,2.9795738575093025,0.24325045590813651,26.33161762469041,24.858438156780892,1.0236363137343298
2022,2,23,17,18,33,SO289_1-2,40005,5,-33.6075,-71.72898,99.1,99.9,34.6062,11.4811,8.62,2.9698041029008464,0.2344582186500668,26.180190840013083,24.99129228960837,1.02363654122189
2022,2,23,17,18,35,SO289_1-2,40006,6,-33.60751,-71.72898,99.2,100.0,34.6068,11.4807,8.47,2.973710418154727,0.2500886554032885,26.350161336691016,24.821299048776382,1.0236369961971246
2022,2,23,17,18,37,SO289_1-2,40007,7,-33.60752,-71.72898,99.3,100.0,34.606,11.4819,8.48,2.969804542896607,0.2559502599470102,26.410745334608478,24.85452867775509,1.0236363895635123
2022,2,23,17,18,38,SO289_1-2,40008,8,-33.60752,-71.72898,99.2,99.9,34.6051,11.4829,8.38,2.9854370835252637,0.25692734063061007,26.606144950854237,24.803745926278282,1.0236357071010234
2022,2,23,17,18,40,SO289_1-2,40009,9,-33.60752,-71.72898,99.1,99.8,34.6054,11.4824,8.47,2.9903209691740376,0.2627887424723346,26.693084012319964,24.849655175720354,1.0236359345884816
2022,2,23,17,18,41,SO289_1-2,40010,10,-33.60752,-71.72898,99.1,99.9,34.6056,11.4823,8.43,2.969805422888372,0.2706039809671313,26.709687522102296,24.80764437790372,1.0236360862468081
2022,2,23,17,18,43,SO289_1-2,40011,11,-33.60752,-71.72898,99.2,99.9,34.6057,11.4822,8.42,2.9932510334395346,0.27646541855854706,26.94121312016824,24.621052805410113,1.023636162075978
2022,2,23,17,18,44,SO289_1-2,40012,12,-33.60752,-71.72898,99.1,99.8,34.6055,11.4827,8.45,2.9932514769091516,0.2764654595186977,27.007646974748827,24.590772250899853,1.0236360104176425
2022,2,23,17,22,52,SO289_1-2,40013,13,-33.6075,-71.72899,6.7,6.7,34.3461,14.1018,206.93,1.423631050779846,0.4064725580812738,3.510711300927925,12.335855879269428,1.0234393238345532
2022,2,23,17,22,53,SO289_1-2,40014,14,-33.60751,-71.729,6.7,6.7,34.3366,14.208,209.33,1.401167669449879,0.40354410563654114,3.4980336517646906,12.212827545644377,1.0234321211272392
2022,2,23,17,22,55,SO289_1-2,40015,15,-33.60752,-71.729,6.7,6.7,34.3438,14.2384,211.09,1.4246105756393845,0.40549615150229396,3.5370989600922993,12.232304387125827,1.023437580017704
