index,Year_UTC,Month_UTC,Day_UTC,hour,minute,second,Station_ID,bottle,Niskin_ID,Latitude,Longitude,Depth,CTDPRES,CTDSAL_PSS78,CTDTEMP_ITS90,oxygen,phosphate,nitrite,silicate,nitrate,density,TA,DIC,TA_ONLY,DIC_ONLY,Cast_number,Time_UTC,TA_flag,DIC_flag,TA_ONLY_flag,DIC_ONLY_flag
2,2022.0,2.0,23.0,17,18,30,01,40003,3.0,-33.60752,-71.72898,99.1,99.8,34.6036,11.4842,8.77,2.988371134244887,0.2530199816179881,26.59152084803721,24.88778784440103,1.0236345696643063,2287.739231464668,2294.4490418150403,,,2,17:18:30,2,2,2,2
14,2022.0,2.0,23.0,17,22,55,01,40015,15.0,-33.60752,-71.729,6.7,6.7,34.3438,14.2384,211.09,1.4246105756393843,0.4054961515022939,3.5370989600923,12.232304387125827,1.023437580017704,2282.8239462368665,2147.5353042456363,,,2,17:22:55,2,2,2,2
26,2022.0,2.0,28.0,18,34,02,10,40240,3.0,-32.49818,-81.9992,3929.7,3994.7,34.7019,1.657,166.8,2.3776285393655128,,122.9450813330088,34.78136473814644,1.0237091117057042,2407.933108050082,2310.83989140836,,,2,18:34:02,2,2,2,2
29,2022.0,2.0,28.0,18,56,20,10,40243,6.0,-32.49814,-81.99924,2745.0,2782.7,34.6796,1.8286,153.28,2.4704691483864063,,123.16885864475952,35.57026219857423,1.0236922009942213,2397.693998171884,2315.378793720604,,,2,18:56:20,2,2,2,2
32,2022.0,2.0,28.0,19,24,21,10,40246,9.0,-32.49814,-81.99926,1199.7,1211.7,34.5115,3.3203,115.65,2.7326068495263387,,77.39031783281351,39.33507936204127,1.0235647328794566,2348.598295638278,2280.159322790791,,,2,19:24:21,2,2,2,2
35,2022.0,2.0,28.0,19,35,41,10,40249,12.0,-32.4982,-81.9992,601.4,606.5,34.2494,5.4712,226.57,1.8839789301623344,,12.873204577779353,27.84145626461889,1.0233660096367811,2275.4213183220213,2176.685283535611,,,2,19:35:41,2,2,2,2
38,2022.0,2.0,28.0,19,42,53,10,40252,15.0,-32.49826,-81.9991,253.0,255.0,34.4465,9.7893,57.85,2.525609170372359,0.0039080992965142,17.80432337009497,28.86619842887866,1.0235154474114,2271.378435751661,2254.362370376666,,,2,19:42:53,2,2,2,2
39,2022.0,2.0,28.0,19,44,23,10,40253,16.0,-32.49824,-81.99908,202.7,204.2,34.1798,10.2511,150.63,1.9065520859223168,0.0039088715241872,7.4766940078891055,24.114805650592007,1.023313244052381,2282.3521404078247,2188.4119776080265,,,2,19:44:23,2,2,2,2
42,2022.0,2.0,28.0,19,46,50,10,40256,19.0,-32.4982,-81.99908,103.9,104.7,34.1222,13.3596,247.3,0.6772408905924213,0.6635592564390391,0.1016349965679824,6.9981558694550206,1.0232695775262377,2261.910240762179,2073.8083093163973,,,2,19:46:50,2,2,2,2
46,2022.0,2.0,28.0,19,53,17,10,40260,23.0,-32.49818,-81.99916,6.9,7.0,34.4461,19.9156,235.57,0.2833372829562184,,,,1.0235151441217534,2283.316419951256,2040.573374587848,,,2,19:53:17,2,2,2,2
