# File last updated on: 23 August 2023
# File prepared by: Louise Delaigue (Royal Netherlands Institute for Sea Research)
# For questions please send a message to:  louise.delaigue@nioz.nl or matthew.humphreys@nioz.nl
# EXPOCODE: 06S220220218
# Chief Scientist: Prof. Dr. Eric P. Achterberg (GEOMAR)
# Region: South Pacific Ocean (GEOTRACES GP21)
# SHIP: R/V Sonne
# Cruise:  SO289
# Shipboard contact: sonne@sonne.briese-research.de
# Notes: code for processing SO289 data can be found at doi
# DIC: Who - K. Bakker; Status -  Final
# Notes:  analysed at the Royal Netherlands Institute for Sea Resarch using a Seal QuAAtro gas-segmented continuous flow analyser and Dickson's CRMs (batch #195)
# TA: Who - L. Delaigue; Status -  Final	
# Notes:  analysed at the Royal Netherlands Institute for Sea Resarch using a VINDTA 3C (#017 Marianda Germany) and Dickson's CRMs (batch #189 #195 #198)
# Notes: TA and DIC were sampled separatly in 150 mL HDPE plastic bottles and 12 mL exetainer vials respectively
#  
EXPOCODE,Cruise_ID,TA_bottle_name,DIC_vial_name,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Initial_salinity,Initial_temperature,Initial_total_phosphate,Initial_total_silicate,TA,TA_flag,DIC,DIC_flag,availability,Notes
n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,[umol/kg],[umol/kg],[umol/kg],n.a.,[umol/kg],n.a.,n.a.,n.a.
06S220220218,SO289,EXP6-I1,EXP6-I1,2022.0,3.0,14.0,04:58:00,35.4193,25.0,0.0674051937531676,0.1787702964757923,2324.928203402649,2,2041.2983248030241,2.0,both,
06S220220218,SO289,HL-E2-I1,HL-E2-I1,2022.0,3.0,1.0,02:20:00,34.4279,19.9,0.2684621723740074,,2290.8062105424897,2,2043.0006243556008,2.0,both,
06S220220218,SO289,EXP6-I2,EXP6-I2,2022.0,3.0,14.0,04:58:00,35.4193,25.0,0.0674051937531676,0.1787702964757923,2324.4309275879123,2,2040.5179001149272,2.0,both,
06S220220218,SO289,HL-E2-I2,HL-E2-I2,2022.0,3.0,1.0,02:20:00,34.4279,19.9,0.2684621723740074,,2291.359420681976,2,2044.9531265053172,2.0,both,
06S220220218,SO289,EXP2-NAOH1,EXP2-NAOH1,2022.0,3.0,1.0,02:20:00,34.4279,19.9,0.2684621723740074,,2768.735540249301,2,2053.251260641611,2.0,both,
06S220220218,SO289,HL-E2-C1,HL-E2-C1,2022.0,3.0,1.0,02:20:00,34.4279,19.9,0.2684621723740074,,2286.9785592551693,2,2054.7156372538984,2.0,both,
06S220220218,SO289,EXP6-I3,EXP6-I3,2022.0,3.0,14.0,04:58:00,35.4193,25.0,0.0674051937531676,0.1787702964757923,2325.34742731125,2,2040.6154532009398,2.0,both,
06S220220218,SO289,EXP2-NAOH2,EXP2-NAOH2,2022.0,3.0,1.0,02:20:00,34.4279,19.9,0.2684621723740074,,2768.420502555549,2,2054.520387038927,2.0,both,
06S220220218,SO289,HL-E2-I3,HL-E2-I3,2022.0,3.0,1.0,02:20:00,34.4279,19.9,0.2684621723740074,,2293.9460051819065,2,2194.026665636153,2.0,both,
06S220220218,SO289,EXP2-NAOH3,EXP2-NAOH3,2022.0,3.0,1.0,02:20:00,34.4279,19.9,0.2684621723740074,,2767.3119611228217,2,2058.230141123388,2.0,both,
06S220220218,SO289,EXP1-NAOH1,EXP1-NAOH1,2022.0,2.0,26.0,01:30:00,34.4421,19.5,0.4626792669895005,,2757.3075858621287,2,2049.9103359304963,2.0,both,
06S220220218,SO289,HL-E1-C2,,2022.0,2.0,26.0,01:30:00,34.4421,19.5,0.4626792669895005,,2290.7857865146943,2,,,TA only,
06S220220218,SO289,HL-E1-C3,,2022.0,2.0,26.0,01:30:00,34.4421,19.5,0.4626792669895005,,2289.613926117414,2,,,TA only,
06S220220218,SO289,EXP1-NAOH3,EXP1-NAOH3,2022.0,2.0,26.0,01:30:00,34.4421,19.5,0.4626792669895005,,2767.127596968444,2,2052.1556896654424,2.0,both,
06S220220218,SO289,HL-E2-C2,HL-E2-C2,2022.0,3.0,1.0,02:20:00,34.4279,19.9,0.2684621723740074,,2283.3996863026928,2,2049.834381879608,2.0,both,
06S220220218,SO289,HL-E1-I3,HL-E1-I3,2022.0,2.0,26.0,01:30:00,34.4421,19.5,0.4626792669895005,,2321.796827142356,2,2050.5937044585235,2.0,both,
06S220220218,SO289,HL-E1-I3,HL-E1-I3,2022.0,2.0,26.0,01:30:00,34.4421,19.5,0.4626792669895005,,2321.796827142356,2,2050.5937044585235,2.0,both,
06S220220218,SO289,HL-E2-C3,HL-E2-C3,2022.0,3.0,1.0,02:20:00,34.4279,19.9,0.2684621723740074,,2289.0027488739674,2,2057.3515151560155,2.0,both,
06S220220218,SO289,HL-E1-C1,,2022.0,2.0,26.0,01:30:00,34.4421,19.5,0.4626792669895005,,2289.41235605853,2,,,TA only,
06S220220218,SO289,EXP11-NAOH3,EXP11-NAOH3,2022.0,3.0,30.0,06:42:00,35.0224,26.7,0.0019553550538998,0.0850579448446447,2441.391311155611,2,1995.3549204406863,2.0,both,
06S220220218,SO289,HL-E3-I2,,2022.0,3.0,4.0,01:47:00,35.0624,22.1,0.1689059457266625,0.0078106795711751,2341.862487673612,2,,,TA only,
06S220220218,SO289,EXP1-NAOH2,EXP1-NAOH2,2022.0,2.0,26.0,01:30:00,34.4421,19.5,0.4626792669895005,,2767.1094483681536,2,2054.889163777551,2.0,both,
06S220220218,SO289,EXP11-C3,,2022.0,3.0,30.0,06:42:00,35.0224,26.7,0.0019553550538998,0.0850579448446447,2295.497694605386,2,,,TA only,
06S220220218,SO289,HL-E3-I1,,2022.0,3.0,4.0,01:47:00,35.0624,22.1,0.1689059457266625,0.0078106795711751,2318.8474378916217,2,,,TA only,
