# File last updated on: 23 August 2023
# File prepared by: Louise Delaigue (Royal Netherlands Institute for Sea Research)
# For questions please send a message to:  louise.delaigue@nioz.nl or matthew.humphreys@nioz.nl
# EXPOCODE: 06S220220218
# Chief Scientist: Prof. Dr. Eric P. Achterberg (GEOMAR)
# Region: South Pacific Ocean (GEOTRACES GP21)
# SHIP: R/V Sonne
# Cruise:  SO289
# Shipboard contact: sonne@sonne.briese-research.de
# Notes: code for processing SO289 data can be found at doi
# DIC: Who - L. Delaigue; Status -  Final
# Notes:  analysed at the Royal Netherlands Institute for Sea Resarch using a VINDTA 3C (#017 Marianda Germany) and Dickson's CRMs (batches #189 #195 #198)
# TA: Who - L. Delaigue; Status -  Final	
# Notes:  analysed at the Royal Netherlands Institute for Sea Resarch using a VINDTA 3C (#017 Marianda Germany) and Dickson's CRMs (batch #189 #195 #198)
#  
EXPOCODE,Cruise_ID,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Latitude,Longitude,Depth,Temperature,Salinity,TA,TA_flag,DIC,DIC_flag
n.a.,n.a,n.a.,n.a.,n.a.,n.a.,decimal_deg,decimal_deg,[m],[deg_C],n.a.,[umol/kg],n.a.,[umol/kg],n.a.
06S220220218,SO289,2022,2,28,16:20:00,-32.685,-81.99361111111111,3,19.8903,34.4225,2283.21173448784,2,2043.2040886725345,2
06S220220218,SO289,2022,3,1,00:58:00,-32.50194444444445,-82.47833333333334,3,19.8476,34.42,2279.9890438620987,2,2039.595741290272,2
06S220220218,SO289,2022,3,1,17:20:00,-32.50277777777778,-85.00888888888889,3,20.6933,34.7411,2297.466027521516,2,2055.115026747781,2
06S220220218,SO289,2022,3,2,01:10:00,-32.760555555555555,-86.73083333333334,3,20.8006,34.7355,2298.9109574885474,2,-999.0,2
06S220220218,SO289,2022,3,2,02:09:00,-32.50055555555556,-86.78472222222221,3,20.9545,34.8076,2295.9646071488587,2,2052.866146102201,2
06S220220218,SO289,2022,3,2,12:00:00,-32.727222222222224,-88.25416666666666,3,20.883,34.8146,2297.256594890204,2,2059.394448164203,2
06S220220218,SO289,2022,3,3,02:54:00,-32.501666666666665,-89.81583333333333,3,21.2435,34.8402,2305.133677181704,2,2066.870028505648,2
06S220220218,SO289,2022,3,3,13:00:00,-32.758611111111115,-91.24,3,21.4367,34.8017,2297.0708167816383,2,2052.972760496741,2
06S220220218,SO289,2022,3,4,02:16:00,-32.751666666666665,-94.05583333333334,3,22.2549,35.1942,2298.0184629953096,2,2059.7882951731217,2
06S220220218,SO289,2022,3,4,07:00:00,-32.757777777777775,-94.01638888888888,3,22.2248,35.1987,2311.111736558198,2,2068.757753342857,2
06S220220218,SO289,2022,3,4,15:35:00,-32.50277777777778,-95.53111111111112,3,22.2109,35.1268,2024.527690766284,3,2067.99030823178,3
06S220220218,SO289,2022,3,5,17:05:00,-32.50277777777778,-100.00527777777778,3,22.6458,35.2755,2315.5537211399346,2,2070.688326022905,2
06S220220218,SO289,2022,3,6,05:52:00,-32.72972222222222,-100.30694444444444,3,22.5826,35.1835,2320.268447568053,2,2070.147143199937,2
06S220220218,SO289,2022,3,9,21:20:00,-31.643611111111113,-112.09111111111112,3,24.8011,35.5475,2318.026071494467,2,2066.367386298013,2
06S220220218,SO289,2022,3,17,19:30:00,-31.639444444444447,-138.26,3,23.4626,35.3377,2305.455814513773,2,2046.007587127688,2
06S220220218,SO289,2022,3,18,07:45:00,-31.441666666666666,-138.16833333333332,3,23.3996,35.3194,2309.590288121295,2,2045.7427761805525,2
06S220220218,SO289,2022,3,18,23:00:00,-31.633333333333333,-141.255,3,23.0087,35.1961,2310.826050383143,2,2043.0034633132923,2
