bottle,station,cast,niskin,depth,counts,run_time,dic_cell_id,dbs_fname,analysis_datetime,analysis_datenum,salinity,alkalinity_certified,total_phosphate,total_silicate,total_ammonium,crm
JUNK01,22,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 11:18:00,19318.470833333333,,,,,,False
JUNK02,22,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 11:40:00,19318.48611111111,,,,,,False
JUNK03,22,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 11:56:00,19318.49722222222,,,,,,False
JUNK04,22,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 12:35:00,19318.524305555555,,,,,,False
JUNK05,22,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 12:50:00,19318.534722222223,,,,,,False
JUNK06,22,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 13:04:00,19318.544444444444,,,,,,False
CRM-198-0675-02,666,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 13:20:00,19318.555555555555,33.504,2200.67,0.67,3.8,0.0,True
NUTSLAB01,22,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 13:34:00,19318.56527777778,,,,,,False
ST23,444,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 13:49:00,19318.575694444444,,,,,,False
ST22,444,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 14:03:00,19318.585416666665,,,,,,False
ST44,444,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 15:12:00,19318.633333333335,,,,,,False
ST37,444,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 15:26:00,19318.643055555556,,,,,,False
SO289-41142,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 15:40:00,19318.652777777777,35.0733,,0.0205079970349477,0.8252027378348019,,False
SO289-41169,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 15:55:00,19318.663194444445,34.6428,,1.2523636960603066,5.197016273822802,,False
SO289-03042022-21-00,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 16:10:00,19318.67361111111,,,,,,False
SO289-40388,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 16:25:00,19318.684027777777,34.6542,,2.4304637774940625,110.91921608342577,,False
SO289-41180,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 16:39:00,19318.69375,35.6836,,0.3309080496471778,0.5954392633769275,,False
SO289-25032022-05-25,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 16:54:00,19318.704166666666,,,,,,False
NUTSLAB02,22,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 17:09:00,19318.714583333334,,,,,,False
SO289-18032022-07-45,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 17:24:00,19318.725,,,,,,False
SO289-41205,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 17:38:00,19318.734722222223,34.3765,,2.2042823068606445,38.67460207010552,,False
SO289-02032022-02-09,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 17:52:00,19318.744444444445,,,,,,False
SO289-23032022-23-50,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 18:07:00,19318.754861111112,,,,,,False
SO289-41160,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 18:22:00,19318.765277777777,34.5565,,2.4716713862447355,86.32776365435417,,False
SO289-41199,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 18:36:00,19318.775,34.6134,,2.468636493708076,104.1242933590696,,False
SO289-01042022-23-00,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 18:51:00,19318.785416666666,,,,,,False
SO289-41288,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 19:06:00,19318.795833333334,35.1799,,0.0380832730304843,0.096672923846614,,False
SO289-41217,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 19:20:00,19318.805555555555,34.4041,,2.147568017927904,41.19949982346038,,False
SO289-28022022-16-20,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 19:35:00,19318.815972222223,,,,,,False
NUTSLAB03,22,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 19:50:00,19318.82638888889,,,,,,False
CRM-198-1232-02,666,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-22 20:04:00,19318.83611111111,33.504,2200.67,0.67,3.8,0.0,True
JUNK01,23,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 08:20:00,19319.347222222223,,,,,,False
JUNK02,23,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 08:34:00,19319.356944444444,,,,,,False
JUNK03,23,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 08:49:00,19319.36736111111,,,,,,False
CRM-198-0366-02,666,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 09:05:00,19319.378472222223,33.504,2200.67,0.67,3.8,0.0,True
NUTSLAB01,23,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 09:28:00,19319.394444444446,,,,,,False
SO289-01032022-17-20,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 09:43:00,19319.40486111111,,,,,,False
SO289-17032022-19-30,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 09:57:00,19319.414583333335,,,,,,False
SO289-41282,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 10:12:00,19319.425,35.2251,,0.7889808822794628,2.702845398699941,,False
SO289-40977,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 10:27:00,19319.435416666667,34.7216,,2.21153346736312,119.21865065868673,,False
SO289-01042022-13-30,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 10:42:00,19319.445833333335,,,,,,False
SO289-01032022-00-58,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 10:57:00,19319.45625,,,,,,False
SO289-41280,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 11:11:00,19319.46597222222,34.3686,,1.90433127616946,19.381382859978142,,False
SO289-24032022-00-00,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 11:26:00,19319.47638888889,,,,,,False
SO289-41266,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 11:41:00,19319.486805555556,34.6933,,2.472397769208789,124.083890412385,,False
SO289-41240,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 11:55:00,19319.496527777777,34.9967,,0.0224624140816759,0.0947327898227201,,False
NUTSLAB02,23,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 12:10:00,19319.506944444445,,,,,,False
SO289-41011,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 12:25:00,19319.51736111111,34.5007,,2.411200451000754,72.41905730568513,,False
SO289-41216,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 12:40:00,19319.527777777777,35.4681,,0.0195257150771507,0.1269171480014796,,False
SO289-41022,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 12:55:00,19319.538194444445,35.0445,,0.0292977636183164,0.1894588713984463,,False
SO289-41159,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 13:10:00,19319.54861111111,34.6057,,2.5165191456071283,102.7669829352824,,False
SO289-30359,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 13:26:00,19319.55972222222,,,,,,False
SO289-41146,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 13:41:00,19319.57013888889,34.7227,,2.2769789363239448,120.47181991284089,,False
SO289-40382,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 13:56:00,19319.580555555556,34.6995,,2.404984334819674,118.87480042941128,,False
SO289-41157,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 14:10:00,19319.590277777777,34.6479,,2.877885733199406,117.39839570899696,,False
SO289-03032022-13-00,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 14:25:00,19319.600694444445,,,,,,False
SO289-41119,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 14:40:00,19319.61111111111,34.3267,,1.8604203687724328,15.244894219321166,,False
NUTSLAB03,23,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 14:55:00,19319.621527777777,,,,,,False
SO289-04032022-07-00,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 15:09:00,19319.63125,,,,,,False
SO289-29032022-13-20,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 15:24:00,19319.641666666666,,,,,,False
SO289-41010,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 15:40:00,19319.652777777777,34.5572,,2.4374770398666588,86.56413950760121,,False
SO289-05032022-17-05,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 15:54:00,19319.6625,,,,,,False
SO289-03042022-19-00,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 16:09:00,19319.672916666666,,,,,,False
SO289-41081,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 16:24:00,19319.683333333334,34.6241,,2.5135541558700605,110.12063436473088,,False
SO289-41176,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 16:38:00,19319.693055555555,35.5335,,0.4764043705184329,1.106078179912673,,False
SO289-26032022-23-01,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 16:53:00,19319.703472222223,,,,,,False
SO289-41099,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 17:07:00,19319.713194444445,34.7199,,2.2388874074225247,119.83127129936771,,False
SO289-41000,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 17:22:00,19319.723611111112,34.8739,,0.0293014661959395,0.2344117295675162,,False
NUTSLAB04,23,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 17:36:00,19319.733333333334,,,,,,False
SO289-41009,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 17:51:00,19319.74375,34.6163,,2.4842616213912456,105.46340222592792,,False
SO289-41001,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 18:06:00,19319.754166666666,34.7215,,2.19785806986264,117.00028807816336,,False
SO289-41068,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 18:20:00,19319.76388888889,34.5584,,2.453105974471044,88.25417539458013,,False
SO289-41117,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 18:35:00,19319.774305555555,34.6185,,2.532125689565352,108.4642682047652,,False
SO289-30032022-05-40,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 18:49:00,19319.78402777778,,,,,,False
SO289-31032022-NA-NA,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 19:05:00,19319.79513888889,,,,,,False
SO289-28032022-12-00,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 19:20:00,19319.805555555555,,,,,,False
SO289-26032022-07-08,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 19:35:00,19319.815972222223,,,,,,False
SO289-40988,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 19:50:00,19319.82638888889,34.3538,,2.211159018933064,33.64518323373447,,False
SO289-31032022-21-30,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 20:04:00,19319.83611111111,,,,,,False
NUTSLAB05,23,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 20:19:00,19319.84652777778,,,,,,False
SO289-02032022-12-00,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 20:33:00,19319.85625,,,,,,False
SO289-25032022-20-30,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 20:48:00,19319.866666666665,,,,,,False
SO289-03042022-21-00,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 21:03:00,19319.877083333333,,,,,,False
SO289-28032022-21-45,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 21:18:00,19319.8875,,,,,,False
SO289-41204,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 21:32:00,19319.897222222222,34.5432,,2.4199171321425945,83.66641227157521,,False
SO289-41083,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 21:47:00,19319.90763888889,34.5158,,2.427782048780548,76.0174219048554,,False
SO289-04032022-02-16,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 22:01:00,19319.91736111111,,,,,,False
SO289-03032022-02-54,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 22:15:00,19319.927083333332,,,,,,False
SO289-41031,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 22:30:00,19319.9375,34.8235,,0.963077476985164,2.937093279203233,,False
SO289-41008,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 22:45:00,19319.947916666668,34.6396,,2.5223172608863496,115.64853947716132,,False
NUTSLAB06,23,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 22:59:00,19319.95763888889,,,,,,False
CRM-198-0307-02,666,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-23 23:13:00,19319.96736111111,33.504,2200.67,0.67,3.8,0.0,True
JUNK02,24,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 08:05:00,19320.336805555555,,,,,,False
JUNK03,24,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 08:20:00,19320.347222222223,,,,,,False
CRM-198-0862-02,666,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 08:36:00,19320.358333333334,33.504,2200.67,0.67,3.8,0.0,True
NUTSLAB01,24,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 08:50:00,19320.368055555555,,,,,,False
SO289-06032022-05-52,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 09:05:00,19320.378472222223,,,,,,False
SO289-41032,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 09:20:00,19320.38888888889,35.2026,,0.6044397344440495,1.417845709875218,,False
SO289-41281,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 09:34:00,19320.39861111111,34.5137,,1.465464281051275,7.487545499984647,,False
SO289-04032022-15-35,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 09:49:00,19320.40902777778,,,,,,False
SO289-41178,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 10:03:00,19320.41875,35.5931,,0.4100020557526005,0.8649090985638194,,False
SO289-41239,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 10:18:00,19320.429166666665,35.0002,,0.0292987250173958,0.1064520342298716,,False
SO289-41244,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 10:33:00,19320.439583333333,34.6909,,2.4694716209117007,123.93269958270074,,False
SO289-41080,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 10:47:00,19320.449305555554,34.6375,,2.542835803157499,116.56406212230468,,False
SO289-40372,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 11:03:00,19320.460416666665,34.2815,,1.7911054240914872,7.493719311160729,,False
SO289-41192,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 11:17:00,19320.47013888889,35.0327,,0.0234384157585819,0.0849642571248594,,False
NUTSLAB02,24,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 11:32:00,19320.480555555554,,,,,,False
SO289-02032022-01-10,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 11:49:00,19320.49236111111,,,,,,False
SO289-41073,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 12:04:00,19320.50277777778,34.7212,,2.2017658623965675,120.01968332523472,,False
SO289-40377,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 12:18:00,19320.5125,34.7121,,0.1807140329795822,,,False
SO289-41116,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 12:42:00,19320.529166666667,34.6507,,2.549649078057337,121.20015764961526,,False
SO289-02042022-20-50,0,0,0,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 12:57:00,19320.539583333335,,,,,,False
NUTSLAB03,24,11,22,0,0,0,C_Nov21-22_0811,data/TA_ONLY/SO289_TA_only.dbs,2022-11-24 13:12:00,19320.55,,,,,,False
