,bottle,lat,lon,date_time,SBE45_sal,SBE38_water_temp
0,SO289-28022022-16-20,32° 29.726' S,081° 59.037' W,2022-02-28 16:20:00,34.4225,19.8903
1,SO289-01032022-00-58,32° 30.007' S,082° 24.282' W,2022-03-01 00:58:00,34.42,19.8476
2,SO289-01032022-17-20,32° 30.010' S,085° 00.032' W,2022-03-01 17:20:00,34.7411,20.6933
3,SO289-02032022-01-10,32° 29.998' S,086° 31.771' W,2022-03-02 01:10:00,34.7355,20.8006
4,SO289-02032022-02-09,32° 30.002' S,086° 46.065' W,2022-03-02 02:09:00,34.8076,20.9545
5,SO289-02032022-12-00,32° 29.878' S,087° 59.975' W,2022-03-02 12:00:00,34.8146,20.883
6,SO289-03032022-02-54,32° 30.006' S,089° 42.417' W,2022-03-03 02:54:00,34.8402,21.2435
7,SO289-03032022-13-00,32° 29.991' S,090° 59.924' W,2022-03-03 13:00:00,34.8017,21.4367
8,SO289-04032022-02-16,32° 29.966' S,094° 00.201' W,2022-03-04 02:16:00,35.1942,22.2549
9,SO289-04032022-07-00,32° 29.988' S,094° 00.059' W,2022-03-04 07:00:00,35.1987,22.2248
10,SO289-04032022-15-35,32° 30.010' S,095° 30.112' W,2022-03-04 15:35:00,35.1268,22.2109
11,SO289-05032022-17-05,32° 30.010' S,100° 00.019' W,2022-03-05 17:05:00,35.2755,22.6458
12,SO289-06032022-05-52,32° 28.947' S,100° 02.985' W,2022-03-06 05:52:00,35.1835,22.5826
13,SO289-09032022-21-20,31° 25.817' S,111° 59.388' W,2022-03-09 21:20:00,35.5475,24.8011
14,SO289-17032022-19-30,31° 25.802' S,137° 59.996' W,2022-03-17 19:30:00,35.3377,23.4626
15,SO289-18032022-07-45,31° 26.030' S,138° 00.606' W,2022-03-18 07:45:00,35.3194,23.3996
16,SO289-18032022-23-00,31° 25.780' S,140° 59.978' W,2022-03-18 23:00:00,35.1961,23.0087
17,SO289-23032022-23-50,26° 10.190' S,152° 00.001' W,2022-03-23 23:50:00,35.1787,26.8346
18,SO289-24032022-00-00,26° 10.189' S,151° 59.997' W,2022-03-24 00:00:00,35.1804,26.8402
19,SO289-25032022-05-25,26° 10.097' S,155° 59.938' W,2022-03-25 05:25:00,34.8585,26.1489
20,SO289-25032022-20-30,26° 10.137' S,158° 38.138' W,2022-03-25 20:30:00,35.0876,26.2897
21,SO289-26032022-07-08,26° 10.199' S,159° 59.996' W,2022-03-26 07:08:00,34.946,26.8304
22,SO289-26032022-23-01,26° 10.204' S,163° 13.947' W,2022-03-26 23:01:00,35.0254,25.8418
23,SO289-28032022-12-00,26° 10.200' S,168° 00.034' W,2022-03-28 12:00:00,34.8246,26.2313
24,SO289-28032022-21-45,26° 10.205' S,169° 10.900' W,2022-03-28 21:45:00,34.9869,25.978
25,SO289-29032022-13-20,26° 10.223' S,171° 59.998' W,2022-03-29 13:20:00,35.0704,26.0051
26,SO289-29032022-18-30,26° 10.192' S,172° 07.432' W,2022-03-29 18:30:00,35.0955,25.9792
27,SO289-30032022-05-40,26° 10.042' S,174° 42.739' W,2022-03-30 05:40:00,34.9385,26.314
28,SO289-31032022-21-30,25° 43.087' S,178° 42.893' W,2022-03-31 21:30:00,35.4872,25.6764
29,SO289-01042022-13-30,25° 43.093' S,178° 59.985' E,2022-04-01 13:30:00,35.0234,26.041
30,SO289-01042022-23-00,25° 43.110' S,179° 00.006' E,2022-04-01 23:00:00,35.0483,26.2733
31,SO289-02042022-20-50,25° 43.101' S,175° 30.001' E,2022-04-02 20:50:00,35.1948,25.7628
