bottle,salinity,total_phosphate,total_silicate,total_ammonium,alkalinity,dic_corrected
SO289-40830,35.0617,0.2382854415479545,0.1191427207739772,0.0,2304.910181249676,2077.043698417512
SO289-40968,35.5852,0.0868818963639718,0.2489312760990205,0.0,2321.0587210568565,2060.182239625852
SO289-40047,34.649,2.8124325439450395,27.62807127747607,0.0,2283.881812631666,2293.1141135534713
SO289-40776,34.7701,0.4219735576194664,0.2666638454400795,0.0,2285.4883319750224,2088.0026810619916
SO289-41278,34.4901,2.3477148225022737,66.81461559770516,0.0,2319.93129139886,2258.181648924166
SO289-40243,34.6796,2.4704691483864063,123.16885864475952,0.0,2397.693998171884,2315.378793720604
SO289-41097,34.7204,2.2193500460797333,119.5713910389648,0.0,2361.276415243509,2268.319259668127
SO289-41162,34.4667,2.381950876944257,62.66152643301756,0.0,2314.972192733777,2248.1487354066458
SO289-41000,34.8739,0.0293014661959395,0.2344117295675162,0.0,2280.5697302384715,1974.2624275278029
SO289-40957,34.4808,1.3521679982537944,4.961205993593041,0.0,2061.2399355949924,2140.2161012252536
SO289-41111,34.6508,2.551602643123421,121.09073845086137,0.0,2378.586531989537,2325.1569684407655
SO289-40037,34.271,1.113953118663139,2.2621065523729533,0.0,2266.4637296287383,2131.5191403508584
SO289-40222,34.6377,2.59363352176357,114.44517814507252,0.0,2384.8311673502094,2313.3989161821664
SO289-41287,35.5676,0.0546679732557614,0.1425272159882352,0.0,2320.3696004815147,2038.9114265923395
SO289-40027,34.6789,2.815300821512637,26.94170598796618,0.0,2283.39768313919,2287.559053018068
SO289-40216,34.7023,2.4186551023428824,123.8847646968211,0.0,2400.3207498195675,2305.3212000149647
SO289-41223,34.4542,1.5329432048399665,8.183513246487928,0.0,2266.59434746915,2165.498524792698
SO289-40237,34.1958,0.3146604278711999,0.0,0.0,2273.486425992281,2027.7201637920525
SO289-40050,34.6902,2.8006245286406832,25.63348038230212,0.0,2287.607696687264,2291.9158268222986
SO289-41224,34.9255,0.985468312077551,3.569758850984588,0.0,2243.7270009409485,
SO289-41136,35.5254,0.3836640181540952,0.7800192124812267,0.0,2304.783638770615,
SO289-41261,34.5854,2.455010758372832,95.2598882009291,0.0,2368.6423738357485,
SO289-40937,34.6882,2.45189326177183,126.99439506110956,0.0,2393.9707726338697,2297.7818395975532
SO289-40981,34.6796,2.530057372210673,132.01526774234247,0.0,2401.512005173356,2318.3666512100735
SO289-40984,34.6394,2.5545548467975783,117.1295146026296,0.0,2388.973502279224,2302.0705363854227
SO289-40998,35.0622,0.0449226485722561,0.2187537669605518,0.0,2292.509528578649,1986.6324665481502
SO289-40712,34.932,0.1826379455654263,0.0,0.0,2295.4393230765586,2051.2991655909923
SO289-40793,34.6906,2.445050965495824,121.95656327976712,0.0,2390.374202409409,2290.7029694388316
SO289-41099,34.7199,2.2388874074225247,119.83127129936771,0.0,2328.79018041154,2282.2191980713624
