year,month,day,hour,minute,second,station,bottle,niskin,latitude,longitude,depth,pressure,salinity,temperature,oxygen,phosphate,nitrite,silicate,nitrate,density,alkalinity,dic_corrected,TA_only,DIC_only
2022.0,2.0,23.0,17.0,18.0,26.0,SO289_1-2,40001,1.0,-33.60752,-71.72898,99.1,99.9,34.6035,11.4843,8.78,2.968833131652154,0.2627891123443335,26.575892238718392,24.772514166645383,1.0236344938352255,,,,
2022.0,2.0,23.0,17.0,18.0,28.0,SO289_1-2,40002,2.0,-33.60752,-71.72898,99.0,99.8,34.6041,11.4836,8.91,2.9717625443885765,0.2530198879015915,26.46158186714444,24.761757137612516,1.0236349488097725,,,,
2022.0,2.0,23.0,17.0,18.0,30.0,SO289_1-2,40003,3.0,-33.60752,-71.72898,99.1,99.8,34.6036,11.4842,8.77,2.988371134244887,0.2530199816179881,26.59152084803721,24.88778784440103,1.0236345696643063,2287.739231464668,2294.4490418150403,,
2022.0,2.0,23.0,17.0,18.0,32.0,SO289_1-2,40004,4.0,-33.6075,-71.72898,99.1,99.8,34.6059,11.4814,8.63,2.9795738575093025,0.2432504559081365,26.33161762469041,24.85843815678089,1.0236363137343298,,,,
2022.0,2.0,23.0,17.0,18.0,33.0,SO289_1-2,40005,5.0,-33.6075,-71.72898,99.1,99.9,34.6062,11.4811,8.62,2.9698041029008464,0.2344582186500668,26.180190840013083,24.99129228960837,1.02363654122189,,,,
2022.0,2.0,23.0,17.0,18.0,35.0,SO289_1-2,40006,6.0,-33.60751,-71.72898,99.2,100.0,34.6068,11.4807,8.47,2.973710418154727,0.2500886554032885,26.350161336691016,24.821299048776385,1.0236369961971246,,,,
2022.0,2.0,23.0,17.0,18.0,37.0,SO289_1-2,40007,7.0,-33.60752,-71.72898,99.3,100.0,34.606,11.4819,8.48,2.969804542896607,0.2559502599470102,26.41074533460848,24.85452867775509,1.0236363895635123,,,,
2022.0,2.0,23.0,17.0,18.0,38.0,SO289_1-2,40008,8.0,-33.60752,-71.72898,99.2,99.9,34.6051,11.4829,8.38,2.985437083525264,0.25692734063061,26.60614495085424,24.80374592627828,1.0236357071010234,,,,
2022.0,2.0,23.0,17.0,18.0,40.0,SO289_1-2,40009,9.0,-33.60752,-71.72898,99.1,99.8,34.6054,11.4824,8.47,2.9903209691740376,0.2627887424723346,26.693084012319964,24.849655175720358,1.0236359345884816,,,,
2022.0,2.0,23.0,17.0,18.0,41.0,SO289_1-2,40010,10.0,-33.60752,-71.72898,99.1,99.9,34.6056,11.4823,8.43,2.969805422888372,0.2706039809671313,26.709687522102296,24.80764437790372,1.023636086246808,,,,
2022.0,2.0,23.0,17.0,18.0,43.0,SO289_1-2,40011,11.0,-33.60752,-71.72898,99.2,99.9,34.6057,11.4822,8.42,2.9932510334395346,0.276465418558547,26.94121312016824,24.621052805410116,1.023636162075978,,,,
2022.0,2.0,23.0,17.0,18.0,44.0,SO289_1-2,40012,12.0,-33.60752,-71.72898,99.1,99.8,34.6055,11.4827,8.45,2.993251476909152,0.2764654595186977,27.007646974748827,24.590772250899853,1.0236360104176423,,,,
